leksem	vrsta.riječi	broj.slova	frek	k.N	k.M	k.C	k.STD	k.MIN	k.MAX	č.N	č.M	č.C	č.STD	č.MIN	č.MAX	p.N	p.M	p.C	p.STD	p.MIN	p.MAX	d.N	d.M	d.C	d.STD	d.MIN	d.MAX
tankerski	Ag	9	3339	30	3.03333333333	3.0	1.07960898271	1	4	30	1.56666666667	1.0	0.843932593411	1	4	30	3.3	3.0	1.15902257671	1	5	30	9.53333333333	10.0	3.46153466287	0	16
cifra	Nc	5	14197	30	3.26666666667	3.5	1.26315302143	1	5	30	2.73333333333	3.0	1.15277443105	1	5	30	4.03333333333	4.5	1.11005505369	2	5	30	9.63333333333	9.5	2.66437401445	4	15
sterilan	Ag	8	5170	30	2.7	2.0	1.3699148392	1	5	30	2.36666666667	2.0	0.835995746932	1	4	30	3.4	3.0	1.08320512062	2	5	30	10.1	10.0	2.63754936763	4	16
putovnica	Nc	9	20068	30	4.66666666667	5.0	0.906764700582	1	5	30	3.16666666667	3.0	0.687184270936	2	5	30	4.63333333333	5.0	0.752034278179	2	5	30	7.63333333333	7.0	2.58822118237	4	14
nesavršen	Ag	9	3387	30	2.03333333333	2.0	1.07960898271	1	5	30	3.06666666667	3.0	0.99777530314	1	5	30	2.83333333333	3.0	1.06718737291	1	5	30	8.0	8.5	2.17562251628	4	13
nenametljiv	Ag	11	3435	30	2.23333333333	2.0	1.05461946797	0	5	30	2.8	3.0	1.16619037897	0	5	30	2.7	3.0	1.03762549442	1	5	30	10.0	10.0	3.22490309932	4	17
osvanuti	Vm	8	13303	30	2.9	3.0	1.27410099024	1	5	30	3.1	3.0	0.789514618822	1	5	30	3.4	3.5	1.17189305542	1	5	30	8.33333333333	8.0	2.56038191596	3	14
zapaliti	Vm	8	35737	30	4.33333333333	5.0	1.07496769977	0	5	30	4.0	4.0	1.03279555899	1	5	30	4.33333333333	5.0	0.788810637747	3	5	30	6.93333333333	6.0	2.79205221218	3	15
nosivost	Nc	8	5525	30	2.5	2.0	1.17615191763	1	5	30	2.16666666667	2.0	1.00277393043	1	4	30	2.96666666667	3.0	1.0482790129	1	5	30	10.0333333333	10.0	2.73840991981	5	16
lutrija	Nc	7	8054	30	3.56666666667	4.0	1.20231258646	1	5	30	2.93333333333	3.0	0.853749898324	1	5	30	4.3	5.0	0.862167810425	2	5	30	8.3	7.0	2.3965252624	5	15
grijač	Nc	6	6012	30	4.63333333333	5.0	0.87496031656	1	5	30	2.86666666667	3.0	1.02415276638	1	5	30	4.7	5.0	0.585946527708	3	5	30	6.86666666667	7.0	1.60692943909	4	10
galama	Nc	6	5142	30	3.96666666667	4.0	1.1967548714	1	5	30	3.56666666667	4.0	1.08576649833	1	5	30	4.33333333333	5.0	0.86922698736	2	5	30	6.13333333333	6.0	1.76509363932	3	10
domoljuban	Ag	10	7985	30	2.43333333333	2.0	0.955103252126	1	5	30	3.03333333333	3.0	1.07960898271	0	5	30	3.4	3.0	1.25432584815	1	5	30	8.9	9.0	2.48126311919	5	18
škoditi	Vm	7	6644	30	2.56666666667	2.0	1.22972444971	1	5	30	2.86666666667	3.0	1.11753697428	1	5	30	2.96666666667	3.0	1.27758452645	1	5	30	8.23333333333	9.0	2.41775837411	4	15
