leksem	vr	frek	01a.01.k	01a.01.č	01a.02.k	01a.02.č	01a.03.k	01a.03.č	01a.04.k	01a.04.č	01a.05.k	01a.05.č	01a.06.k	01a.06.č	01a.07.k	01a.07.č	01a.08.k	01a.08.č	01a.09.k	01a.09.č	01a.10.k	01a.10.č	01a.11.k	01a.11.č	01a.12.k	01a.12.č	01a.13.k	01a.13.č	01a.14.k	01a.14.č	01a.15.k	01a.15.č	01b.01.k	01b.01.č	01b.02.k	01b.02.č	01b.03.k	01b.03.č	01b.04.k	01b.04.č	01b.05.k	01b.05.č	01b.06.k	01b.06.č	01b.07.k	01b.07.č	01b.08.k	01b.08.č	01b.09.k	01b.09.č	01b.10.k	01b.10.č	01b.11.k	01b.11.č	01b.12.k	01b.12.č	01b.13.k	01b.13.č	01b.14.k	01b.14.č	01b.15.k	01b.15.č	01b.16.k	01b.16.č
sinji	P	3059	3	1	2	1	1	2	1	1	2	1	2	1	5	1	5	4	3	2	1	1	3	1	1	1	1	1	2	1	1	1	2	1	3	1	4	2	1	2	2	2	2	1	5	1	2	1	1	1	1	1	2	2	1	1	2	3	3	1	3	3	1	2
antioksidans	I	7646	3	1	2	3	3	3	5	1	2	4	3	1	4	2	5	4	4	3	1	2	5	3	2	1	1	1	1	4	4	1	5	2	5	1	4	2	1	1	3	1	2	2	5	3	5	2	5	5	2	1	3	4	1	2	3	1	2	3	5	2	3	2
nacionalan	P	263522	1	4	1	5	1	3	3	2	3	2	3	3	4	2	5	5	2	4	3	2	3	3	2	2	4	3	3	3	3	3	2	2	2	1	2	3	2	3	4	3	2	2	5	5	4	4	5	3	2	2	2	4	2	2	3	2	1	3	4	4	1	4
zapis	I	44327	4	3	5	5	5	4	5	2	3	2	5	3	5	3	5	5	5	5	5	3	5	4	5	4	5	2	5	4	5	5	5	4	5	4	5	3	5	4	4	5	4	4	5	5	4	4	5	5	5	2	5	5	5	3	4	4	5	4	5	4	5	4
loš	P	380756	1	5	5	5	1	5	4	5	2	1	5	5	2	5	3	5	2	5	5	3	3	3	5	5	5	4	5	4	4	5	3	4	1	3	2	5	1	4	3	5	3	5	2	5	5	2	5	4	5	3	2	5	1	4	2	3	1	5	1	5	1	5
poluprazan	P	3108	3	3	5	5	4	4	5	3	2	2	4	3	4	3	5	5	4	3	5	2	4	2	5	4	5	3	4	3	5	5	4	3	1	2	3	2	4	4	3	3	3	4	4	4	4	2	5	4	5	2	5	5	5	3	1	1	5	4	2	3	3	4
dobni	P	11965	3	1	3	3	1	3	1	1	1	1	1	4	1	1	3	5	4	4	2	2	2	1	1	4	1	1	2	2	3	4	1	2	2	1	5	3	1	3	3	3	2	3	4	3	4	3	5	2	1	2	4	5	1	2	2	1	2	2	3	3	2	5
upraviti	G	4559	1	1	2	1	1	3	1	1	1	1	2	2	1	1	2	4	3	1	2	1	4	4	1	1	1	3	3	3	3	3	3	2	3	2	1	1	1	2	3	2	2	3	4	5	3	2	5	3	3	1	3	3	1	2	5	2	3	3	4	4	2	3
kvadrat	I	36394	3	2	5	5	3	3	5	2	3	1	4	3	5	4	5	5	5	4	5	5	5	2	5	2	4	4	5	4	5	5	5	4	5	4	5	3	4	3	4	4	5	4	5	5	5	5	5	3	5	3	5	5	5	2	1	1	5	3	5	4	5	4
presedan	I	7786	3	1	3	3	1	2	2	1	2	4	2	2	4	4	3	3	2	3	1	3	2	1	1	1	5	1	2	2	3	2	2	1	3	1	2	1	1	2	3	1	3	2	2	1	4	3	5	3	1	3	3	3	2	1	1	1	3	2	3	3	2	1
zapremina	I	3382	4	2	2	2	3	2	3	1	2	3	2	1	5	2	5	4	4	2	2	3	2	1	0	1	5	1	2	2	5	3	3	3	5	2	5	1	2	2	4	2	2	2	2	1	4	3	5	2	1	1	5	3	4	3	2	3	4	3	5	3	3	2
kalkulirati	G	4400	1	4	3	3	1	3	4	4	3	1	3	3	4	3	5	5	4	4	4	4	3	5	1	4	2	2	3	2	5	5	4	3	1	2	1	2	1	3	4	3	1	3	5	2	3	2	5	5	1	2	3	4	1	3	4	4	3	4	3	3	1	3
posvađati	G	9734	1	4	3	5	1	4	5	4	2	1	4	5	5	3	3	5	5	5	3	2	2	4	5	4	5	5	4	3	5	5	4	4	4	3	4	4	2	4	5	4	3	4	3	4	4	3	5	5	4	4	4	5	1	4	3	2	5	5	5	5	3	4
alkoholni	P	11422	4	3	5	5	5	4	4	2	2	1	4	4	5	3	5	5	5	5	4	4	4	4	5	3	3	3	5	3	4	4	4	3	4	2	5	4	3	4	5	4	2	3	5	5	5	4	5	5	3	4	5	5	3	3	2	1	4	4	4	4	4	5
prerada	I	18759	3	2	3	3	3	3	2	3	2	1	3	3	4	1	5	3	4	4	3	3	3	2	5	2	5	3	3	2	5	3	4	4	4	1	4	3	3	3	3	3	2	3	4	2	4	4	5	2	2	3	5	5	3	3	5	3	5	3	3	4	4	3
proziran	P	14290	3	4	5	5	3	3	5	4	2	4	4	4	4	3	5	5	4	4	4	4	3	1	5	4	1	3	5	4	4	4	3	4	5	3	5	4	5	3	4	2	4	3	5	2	5	4	5	5	5	4	5	5	5	4	4	4	5	5	1	3	3	4
dodati	G	262166	3	4	5	5	3	5	4	5	4	4	4	5	3	4	5	5	5	5	5	4	4	4	5	5	1	3	5	5	5	5	4	4	4	4	5	5	4	5	5	4	2	5	4	5	5	4	5	5	4	5	5	5	5	5	4	2	5	5	5	5	3	4
proizvoditi	G	93037	5	4	5	5	4	4	5	3	4	2	3	4	5	3	5	5	5	5	4	4	3	3	5	4	4	4	5	4	5	4	4	4	4	1	5	4	4	4	4	4	3	3	3	4	4	3	5	5	4	3	4	5	4	4	2	1	4	5	4	4	4	4
izbaviti	G	3056	2	2	5	5	3	3	3	2	3	3	2	3	4	1	5	3	4	4	3	2	3	1	5	3	3	3	3	3	3	3	4	3	2	1	1	1	1	3	4	3	3	4	3	3	4	3	5	3	3	1	2	4	2	1	0	2	4	2	3	3	2	3
prosuđivati	G	3447	1	3	4	3	1	3	1	1	3	1	2	3	2	4	2	5	2	3	2	2	1	2	5	4	4	3	3	2	3	3	4	3	2	1	1	2	1	3	4	3	3	4	2	3	3	4	5	2	1	3	1	3	1	2	4	1	4	5	3	3	2	4
general	I	96640	4	2	3	3	4	2	5	1	4	2	3	2	5	1	5	3	4	4	4	3	5	2	5	3	5	2	5	2	5	3	5	3	5	1	5	2	5	3	3	2	5	3	3	3	5	3	5	2	5	2	5	2	5	1	1	1	5	2	4	4	5	2
aktualizirati	G	3353	1	3	3	3	1	4	2	1	3	3	1	2	4	4	3	5	2	3	2	2	1	3	1	3	2	2	3	2	3	3	3	3	3	1	1	2	1	2	3	3	3	3	3	3	3	3	5	5	2	2	2	3	1	2	2	1	4	4	4	4	2	3
reproduktivan	P	5152	4	2	3	3	1	2	3	2	3	3	1	1	5	3	2	5	4	4	2	2	2	3	4	4	1	2	2	3	3	4	3	3	2	1	3	2	1	3	4	2	3	3	3	2	4	3	5	4	2	4	3	4	2	2	5	2	5	2	4	3	1	2
vlas	I	7951	5	2	3	3	5	3	5	3	3	4	4	2	5	4	5	4	5	5	5	3	5	2	5	4	5	3	5	3	5	5	5	4	5	2	5	3	5	3	4	5	5	5	5	2	5	3	5	5	5	3	5	5	5	3	5	5	5	3	5	3	5	5
oblačiti	G	11191	4	5	5	5	5	5	5	5	3	5	4	5	5	5	5	5	5	5	5	4	5	5	5	5	5	4	5	5	5	5	4	4	4	4	5	4	4	5	4	2	3	5	5	5	5	4	5	5	5	5	5	5	5	4	1	1	5	5	5	5	4	5
provincijski	P	3580	2	2	3	3	3	2	4	1	2	1	3	2	3	1	3	5	4	3	1	2	1	1	5	0	4	3	3	3	3	3	2	1	1	1	5	2	2	2	3	3	3	2	3	1	4	2	5	3	2	1	3	4	4	1	1	1	3	2	4	3	2	2
pristojba	I	11862	3	2	1	4	4	4	4	1	2	2	1	2	3	3	5	4	3	3	1	2	5	3	5	3	5	2	4	2	5	1	4	3	5	1	4	2	2	3	2	2	2	1	2	1	5	2	5	5	1	1	3	3	2	1	1	1	5	3	4	3	4	2
prilazni	P	3091	3	2	4	3	3	3	3	1	2	2	1	2	1	1	3	5	4	4	2	3	1	2	2	3	2	2	3	2	3	2	2	3	2	1	4	3	3	2	3	4	1	2	3	1	4	3	5	5	3	1	4	3	4	1	3	2	4	3	3	2	3	3
odložiti	G	5399	3	3	5	5	3	4	2	2	3	5	3	4	5	3	5	5	4	5	5	3	5	4	5	4	3	4	5	4	5	5	4	4	3	1	5	4	3	3	5	4	2	5	5	5	4	4	5	5	4	2	5	5	5	4	1	5	5	5	3	4	3	4
odnositi	G	156744	2	5	5	5	3	4	2	2	3	5	1	4	5	4	5	5	2	5	4	3	5	4	1	4	3	4	5	3	5	5	4	4	3	2	2	5	1	4	4	3	2	5	4	4	1	2	5	5	3	4	4	4	1	4	2	2	4	5	3	3	1	4
udružiti	G	10292	1	4	5	5	2	4	2	2	3	3	3	3	4	2	5	5	5	5	1	2	3	3	2	3	4	2	4	3	5	3	4	4	4	2	2	3	3	3	4	3	2	3	4	2	3	2	5	4	3	3	3	4	2	3	2	3	4	3	4	3	3	4
osnova	I	154315	3	4	5	5	1	4	2	3	2	4	4	4	2	3	4	5	1	5	2	3	2	5	4	5	5	3	5	4	5	3	3	3	3	2	3	4	1	4	4	4	2	2	3	4	4	3	5	5	3	3	1	4	2	3	2	1	4	5	3	4	3	4
taktički	P	9266	1	4	4	3	1	4	3	3	2	3	1	4	2	4	3	5	2	5	1	2	2	3	4	4	5	2	3	2	3	3	3	3	2	3	1	2	1	3	4	3	2	2	2	5	3	3	4	4	2	3	2	3	1	1	3	3	3	3	3	3	2	3
nerazumljiv	P	5879	1	4	5	5	1	5	3	4	3	3	4	5	5	3	1	5	5	5	1	2	2	3	4	4	4	3	0	0	2	4	3	4	4	2	1	4	1	3	5	4	2	5	3	4	4	2	5	4	2	2	3	4	2	4	3	1	2	3	3	4	1	5
porta	I	3092	5	3	5	5	5	5	3	1	4	1	4	4	5	2	5	5	4	4	1	2	5	4	5	4	5	4	5	3	5	2	5	3	5	3	5	2	5	3	4	3	5	2	5	2	5	4	5	5	5	1	5	4	4	1	2	2	5	4	5	3	5	5
ekstrem	I	4325	1	4	4	2	1	3	2	4	1	3	2	3	5	3	2	5	2	3	1	2	1	3	4	4	5	4	2	2	2	4	2	3	1	3	1	4	1	4	4	3	3	2	5	4	1	3	5	2	3	3	4	4	2	1	2	2	2	4	4	3	2	3
laprdati	G	4495	1	4	4	1	1	5	2	3	3	3	3	2	3	4	5	5	4	3	1	2	2	4	5	3	5	3	5	3	2	1	3	4	2	3	1	2	3	3	4	2	3	4	4	3	4	4	5	5	2	1	5	5	1	1	2	2	1	3	4	3	3	4
domoljublje	I	8721	1	3	3	5	1	4	5	3	4	5	3	2	4	1	5	3	4	5	1	3	1	2	1	3	5	2	2	2	5	2	3	1	1	1	1	3	1	4	4	3	2	4	5	5	2	2	5	3	1	2	2	5	1	3	2	1	1	4	5	3	2	3
odlučiti	G	390135	1	5	4	5	1	5	2	2	3	1	4	5	1	5	2	5	2	5	2	3	2	5	5	5	4	4	5	5	5	5	4	4	3	4	1	5	1	5	5	4	2	5	4	4	3	3	5	3	1	5	3	5	1	5	4	4	3	5	4	4	2	5
pandemija	I	3454	3	1	3	1	1	2	1	1	3	5	2	1	5	1	5	2	2	2	2	2	5	2	5	1	5	1	2	1	5	1	4	2	5	1	2	1	3	3	2	2	3	2	5	3	4	3	2	3	2	1	3	3	2	1	2	1	3	2	4	2	4	2
pametan	P	136445	1	5	3	5	1	5	5	5	2	3	4	5	3	3	1	5	2	5	3	4	3	5	5	5	4	4	5	4	5	5	4	4	1	4	1	5	1	5	5	4	3	5	5	5	5	5	5	5	4	4	1	5	1	5	5	5	1	5	4	4	2	5
prekršiti	G	11645	1	4	5	3	1	4	2	4	2	3	2	3	3	2	5	5	2	4	2	2	2	2	1	4	4	4	5	4	5	4	3	4	4	2	5	4	1	3	4	4	2	4	3	3	2	3	5	5	2	2	3	5	2	4	2	1	3	5	4	4	3	4
analogan	P	11241	3	2	2	1	1	3	1	1	2	1	1	1	1	1	5	4	2	2	2	2	1	1	1	2	1	1	2	2	3	3	2	2	3	1	1	1	1	2	2	2	3	2	2	2	4	2	4	2	1	1	3	3	1	1	1	1	3	2	2	3	2	2
stečajni	P	23043	3	2	2	4	1	3	2	1	1	1	2	2	2	1	3	3	4	5	1	2	1	1	2	2	3	1	2	2	4	2	3	3	3	1	4	3	2	4	3	2	2	2	2	3	4	3	2	1	1	1	1	3	1	1	1	1	2	4	3	2	3	2
glavnica	I	5041	3	2	4	1	3	2	2	1	2	1	4	2	4	2	3	2	4	3	1	3	4	2	1	2	5	1	2	1	5	2	3	3	5	1	5	3	2	3	2	2	1	2	3	1	5	3	3	1	5	1	3	3	1	1	1	1	4	2	4	2	5	2
stožerni	P	3029	3	2	3	3	1	2	4	1	2	1	2	2	3	1	2	2	3	2	1	2	3	1	1	2	4	1	3	1	4	3	2	2	2	1	2	1	1	1	2	1	2	2	3	1	5	3	2	1	2	1	2	2	1	1	1	1	3	2	3	2	3	3
ponijeti	G	34478	3	5	5	5	3	5	4	4	4	5	4	5	4	5	5	5	5	5	4	4	4	4	5	5	3	2	5	4	5	5	4	4	3	2	4	4	1	3	4	3	2	5	5	5	4	4	5	5	3	4	4	5	5	5	4	5	5	5	3	4	4	5
odijelo	I	24720	5	4	5	5	5	4	5	3	4	4	5	3	5	2	5	5	5	5	5	4	5	3	5	2	5	3	5	3	5	4	5	4	5	3	5	4	5	4	5	5	5	3	5	4	5	4	5	5	5	2	5	5	5	3	5	1	5	3	5	4	5	4
hormonalan	P	5343	3	3	3	2	1	3	4	2	3	4	1	1	4	2	3	3	2	4	1	3	3	4	1	4	2	1	3	2	3	2	4	2	2	2	3	3	1	3	2	1	3	4	5	4	4	3	5	2	2	3	3	4	1	2	5	2	4	2	3	3	3	4
nezamjenjiv	P	6289	1	4	2	4	1	4	2	4	3	5	3	3	2	3	5	5	3	3	2	3	3	4	2	4	3	3	3	2	4	5	3	4	3	1	1	3	2	4	3	3	2	4	4	3	2	3	5	2	1	2	3	4	2	3	1	2	1	4	4	4	4	5
hitan	P	67541	1	4	4	5	1	4	2	4	4	3	4	4	5	4	3	5	4	5	2	3	2	3	0	4	5	4	5	3	5	5	3	4	3	3	5	4	2	4	5	4	2	5	3	4	5	3	4	4	1	3	3	5	2	3	4	3	2	5	4	4	4	5
alkoholizam	I	6610	2	2	3	5	3	4	2	3	3	1	5	4	5	1	5	4	4	4	3	3	3	2	5	3	5	2	5	3	5	5	3	4	4	2	5	3	5	3	5	4	3	3	5	3	5	1	5	2	2	3	4	5	4	3	4	2	3	4	4	5	5	5
promisliti	G	10336	1	4	3	5	1	5	1	4	3	5	4	4	4	5	2	5	2	5	2	4	1	3	2	4	4	5	5	3	5	5	2	3	3	2	2	4	1	3	5	4	3	4	3	4	3	4	2	5	3	4	2	5	3	5	3	4	2	4	3	4	3	4
računalni	P	29417	3	4	2	3	3	4	2	3	3	1	4	4	4	2	4	5	5	5	3	4	3	3	2	4	3	3	4	3	5	3	4	2	4	2	5	4	2	4	5	4	4	4	5	4	4	4	4	2	3	1	5	5	4	3	3	4	5	2	4	5	3	5
pakt	I	7665	1	2	1	1	2	4	4	1	2	1	4	2	5	1	5	5	2	3	2	2	4	2	2	3	5	2	2	1	5	2	3	2	4	1	5	3	2	2	2	1	2	2	4	2	2	1	5	2	2	2	1	3	4	1	3	1	4	2	4	5	4	3
prepucavati	G	3812	1	4	3	2	2	4	2	3	3	3	4	2	4	1	4	4	4	3	1	2	3	4	5	4	4	2	3	3	2	3	4	3	3	3	3	3	1	4	4	3	2	3	4	2	3	3	3	2	1	3	2	4	1	1	1	2	3	4	4	4	4	4
letenje	I	8892	3	4	5	5	3	4	5	2	1	2	5	2	5	2	5	5	5	5	5	4	5	3	5	3	5	3	5	2	5	3	4	4	5	2	5	5	4	2	5	4	4	4	5	3	5	4	5	2	5	3	5	5	5	2	5	1	5	4	5	5	5	4
bronca	I	13396	4	2	5	5	4	3	5	2	3	2	5	1	5	1	5	4	5	5	4	4	5	2	5	3	5	3	5	2	5	4	5	3	5	1	5	3	4	3	4	2	5	3	5	1	5	3	5	1	5	2	5	5	5	1	5	1	5	3	5	4	5	4
neutemeljen	P	6216	3	2	1	5	2	4	2	4	3	3	4	2	3	2	4	4	2	4	1	3	2	2	2	3	5	4	4	2	3	2	2	3	2	1	1	4	1	3	4	4	3	2	4	3	1	3	3	3	1	3	2	4	2	3	1	1	4	3	4	4	4	3
dokaz	I	158854	3	3	2	5	4	4	3	3	4	3	5	2	4	3	5	5	2	5	2	3	4	2	5	3	5	3	5	3	5	5	5	4	5	2	5	5	2	5	4	4	4	3	3	4	1	3	5	5	2	3	1	5	5	3	2	2	5	4	4	5	4	3
parirati	G	6859	2	2	1	3	1	3	2	2	3	3	2	1	3	2	3	4	2	3	1	2	2	1	1	2	3	1	2	1	2	1	4	1	3	1	2	2	2	2	3	1	3	3	4	1	2	3	4	3	1	1	4	4	2	1	1	1	3	2	3	4	3	3
krpati	G	3554	3	3	3	3	3	3	2	2	3	2	3	1	5	2	5	3	5	4	3	2	4	4	5	4	4	3	5	3	3	1	4	4	4	1	5	4	4	4	4	3	3	3	5	2	2	3	5	4	5	3	5	5	5	3	2	1	5	3	3	4	4	4
dugotrajan	P	36447	1	3	4	5	3	4	3	4	3	4	4	3	5	3	3	4	4	5	3	2	2	3	1	4	5	4	5	3	2	4	3	4	2	1	2	4	1	4	5	4	3	4	5	3	4	2	5	4	2	3	4	5	1	3	3	1	4	3	4	5	4	4
obramben	P	28483	3	3	5	5	3	3	3	4	3	4	1	4	4	1	2	3	4	5	3	2	3	2	1	3	5	3	5	3	3	4	2	3	2	1	3	4	2	3	5	2	3	3	5	2	2	3	4	3	2	2	3	4	1	2	3	1	4	3	2	3	3	4
stereo	I	5010	4	2	1	2	2	2	2	2	3	1	2	1	1	1	3	4	4	4	3	3	5	2	5	1	5	2	2	1	5	5	5	2	5	2	5	2	5	4	4	3	5	3	5	1	4	4	1	1	5	1	4	4	5	1	4	1	5	2	5	4	4	3
kockica	I	15298	4	4	5	5	5	3	5	3	3	1	4	3	5	3	5	5	5	4	5	4	5	2	5	3	5	4	5	2	5	5	5	4	5	3	5	5	5	5	5	4	5	5	5	4	5	5	5	2	5	4	5	5	5	1	5	1	5	0	5	5	5	4
starački	P	5846	2	3	5	5	3	3	5	2	4	2	4	3	4	2	3	4	4	5	1	3	3	2	5	4	4	1	5	3	3	4	3	3	4	1	2	4	3	3	5	4	4	5	5	4	5	3	4	4	4	3	4	5	3	3	2	2	5	5	4	4	4	5
odraz	I	19047	2	4	5	5	3	3	5	3	3	5	2	2	5	3	5	5	4	4	3	3	4	3	5	4	5	2	4	3	5	5	5	4	1	1	2	3	5	4	4	3	5	4	5	4	4	4	4	5	5	3	3	4	5	2	1	2	5	3	2	3	5	5
odmarati	G	17397	2	5	5	5	2	5	5	4	4	5	5	5	5	5	5	5	5	5	4	3	4	4	5	4	5	5	5	5	3	4	4	5	1	4	2	5	4	4	5	5	4	5	4	5	5	5	5	5	5	5	4	5	4	4	5	5	5	5	4	4	4	5
usputan	P	6144	2	4	3	3	1	3	2	3	3	3	2	3	3	3	3	4	3	4	3	2	2	1	1	3	2	1	0	0	2	2	1	2	3	1	1	3	1	2	3	3	3	3	5	1	3	2	4	3	1	2	2	4	2	3	1	2	4	4	4	4	3	4
rastući	P	15078	3	1	5	4	1	3	4	2	3	3	2	3	4	1	5	4	4	4	2	2	3	2	5	3	4	2	3	3	3	3	4	3	5	2	1	2	2	4	3	3	3	2	5	3	4	4	3	4	4	2	4	4	5	3	2	2	5	4	4	4	4	4
odličan	P	231014	1	4	4	5	1	5	1	5	5	4	5	4	1	5	2	5	4	4	3	3	2	4	5	5	5	5	5	4	4	4	1	5	1	2	1	5	1	5	5	5	3	4	5	5	5	5	3	2	4	4	2	5	3	5	2	4	2	5	3	5	3	4
okretan	P	10509	3	3	3	3	1	4	1	3	4	3	2	2	3	2	5	4	4	4	4	2	3	4	5	3	5	4	3	3	3	3	4	2	2	2	1	3	1	3	4	3	3	3	5	2	4	3	4	3	4	1	3	4	5	5	1	2	3	4	3	4	4	3
mikser	I	4149	5	2	5	5	5	4	5	3	4	1	5	3	5	3	5	5	4	4	5	3	5	3	5	3	5	5	5	4	5	4	5	4	5	1	5	5	5	5	5	4	5	3	5	2	5	3	5	5	5	3	5	5	5	4	5	2	5	5	5	4	5	4
smilovati	G	4929	1	3	1	2	1	4	2	3	2	3	2	2	4	2	3	4	2	3	3	2	2	3	1	3	4	2	3	3	3	2	4	3	1	2	1	3	1	2	4	3	3	2	4	1	3	3	3	2	1	3	2	5	4	3	2	1	5	3	3	3	3	4
registriran	P	20661	3	2	3	5	1	4	2	3	2	1	1	2	4	5	5	5	4	5	1	2	4	4	5	4	5	3	4	2	4	4	3	2	3	2	2	3	1	2	3	3	4	2	4	2	4	4	5	5	2	2	3	4	1	3	1	1	4	4	3	4	4	4
povraćanje	I	7762	5	2	5	5	4	4	5	3	4	2	4	2	5	2	5	5	5	3	4	2	5	3	5	3	5	3	5	2	5	4	5	4	5	2	5	4	5	3	5	2	4	2	5	3	5	1	5	2	5	3	5	4	5	4	5	4	5	4	5	4	5	4
priglup	P	3369	1	5	3	3	1	5	4	3	4	2	1	2	3	2	2	4	2	3	1	2	3	3	1	4	5	3	5	3	4	4	4	4	3	3	1	4	1	2	4	3	4	4	5	5	5	3	5	3	5	2	3	4	2	4	3	2	4	3	4	4	4	5
sramotiti	G	5695	1	5	4	3	1	5	3	3	4	2	1	3	4	3	2	4	4	5	2	2	2	3	1	4	5	4	5	3	3	5	4	4	2	4	2	5	2	4	5	4	3	5	4	4	2	2	4	4	3	4	2	5	2	5	4	3	4	5	4	5	3	5
brižan	P	6095	1	4	3	3	1	4	2	4	3	4	3	3	4	3	3	5	2	5	3	1	2	2	5	4	5	5	5	3	3	5	4	3	2	3	2	4	1	3	4	4	3	5	4	3	4	3	5	3	5	3	2	5	2	4	2	2	2	5	2	5	4	5
mladenački	P	7463	1	4	4	4	2	4	5	5	3	4	2	4	5	1	5	5	4	5	2	2	2	2	1	3	5	4	5	2	2	4	3	3	4	2	2	3	3	2	4	3	3	4	5	3	4	4	4	4	5	3	4	4	3	4	3	2	5	4	4	4	3	5
spržiti	G	3272	3	3	5	5	3	4	4	3	2	2	4	3	3	4	5	5	4	4	4	4	3	3	5	4	4	3	5	4	2	3	4	4	5	4	2	3	4	3	4	3	3	4	5	2	5	3	5	5	5	3	4	5	5	3	5	4	5	4	3	3	4	4
tehnički	P	128066	3	3	3	3	4	3	1	5	2	1	3	2	2	4	3	5	5	5	3	5	3	5	5	4	4	2	5	3	3	4	4	3	5	3	2	3	3	4	5	4	3	4	5	3	4	3	4	2	3	4	3	4	1	5	4	4	3	5	4	5	3	4
podnositi	G	39244	1	4	4	5	1	4	1	4	3	3	1	3	2	4	3	4	4	5	2	3	3	3	2	4	4	3	5	5	3	5	2	4	5	4	2	5	3	4	5	4	2	5	3	5	4	4	5	3	2	4	3	5	1	5	4	4	4	5	4	4	3	4
komercijalan	P	40583	2	3	1	5	1	4	1	4	3	2	2	2	3	4	3	4	4	5	2	3	2	2	1	3	5	1	3	2	2	2	2	2	1	1	2	4	1	3	4	3	3	3	4	2	4	3	4	4	2	4	2	4	3	2	1	3	4	4	3	3	2	2
karizma	I	9394	1	3	1	3	3	3	1	4	3	4	1	2	3	3	1	3	4	3	1	2	1	1	1	3	5	1	2	1	4	5	2	1	1	1	1	3	1	2	3	2	3	2	3	0	2	4	2	1	1	3	1	2	1	2	1	2	2	3	1	4	2	3
kalvarija	I	4068	1	1	3	3	4	2	1	3	3	3	2	2	1	2	5	2	4	3	2	2	3	1	1	1	5	4	5	2	5	3	3	1	3	1	1	2	1	1	1	1	1	1	4	1	5	1	3	1	5	1	2	3	5	2	3	1	4	3	4	3	4	3
