leksem	vr	frek	02a.01.k	02a.01.č	02a.02.k	02a.02.č	02a.03.k	02a.03.č	02a.04.k	02a.04.č	02a.05.k	02a.05.č	02a.06.k	02a.06.č	02a.07.k	02a.07.č	02a.08.k	02a.08.č	02a.09.k	02a.09.č	02a.10.k	02a.10.č	02a.11.k	02a.11.č	02a.12.k	02a.12.č	02a.13.k	02a.13.č	02a.14.k	02a.14.č	02a.15.k	02a.15.č	02b.01.k	02b.01.č	02b.02.k	02b.02.č	02b.03.k	02b.03.č	02b.04.k	02b.04.č	02b.05.k	02b.05.č	02b.06.k	02b.06.č	02b.07.k	02b.07.č	02b.08.k	02b.08.č	02b.09.k	02b.09.č	02b.10.k	02b.10.č	02b.11.k	02b.11.č	02b.12.k	02b.12.č	02b.13.k	02b.13.č	02b.14.k	02b.14.č	02b.15.k	02b.15.č	02b.16.k	02b.16.č	02b.17.k	02b.17.č
buđenje	I	15337	3	4	5	5	4	5	3	5	5	5	2	3	5	5	2	5	3	0	5	5	2	5	5	2	4	5	4	5	5	5	4	5	5	5	5	5	5	5	3	4	5	5	4	4	3	5	4	5	4	5	5	5	4	5	5	5	5	4	4	5	5	5	3	3
priključiti	G	29722	4	3	4	4	5	3	5	4	5	5	5	4	4	3	3	4	2	0	5	5	4	5	3	3	3	5	5	4	5	5	3	4	4	4	4	2	4	4	2	4	4	5	3	3	2	4	4	5	2	4	3	4	1	3	3	4	4	4	4	4	4	3	3	4
omalovažavanje	I	5266	5	2	2	4	1	3	3	4	2	2	4	3	3	2	1	3	5	1	4	4	2	2	1	4	2	3	5	3	3	5	1	4	1	2	4	3	4	4	2	3	1	2	1	3	2	4	2	3	1	3	2	3	3	2	1	2	4	3	5	5	4	3	2	3
nabrojati	G	13231	5	3	5	5	3	4	3	5	4	4	5	4	3	4	2	5	5	2	3	5	3	4	2	3	4	4	5	4	5	4	4	4	4	4	1	3	4	3	3	5	3	4	4	3	3	5	4	4	3	5	5	4	2	5	4	4	4	4	4	4	4	4	4	4
nespojiv	P	4084	2	2	4	4	3	3	1	4	3	3	5	4	2	3	3	3	5	2	2	3	4	4	3	4	2	3	5	3	4	4	2	2	4	3	1	1	4	4	2	3	1	5	4	3	2	5	1	4	1	4	3	3	1	4	1	3	3	3	3	4	3	2	3	2
vrijeđati	G	35122	4	3	2	4	4	3	4	5	4	2	3	3	4	3	1	4	5	2	3	4	5	4	3	3	3	3	4	4	5	5	4	3	4	3	4	3	4	3	3	4	1	4	3	3	4	5	4	5	2	4	5	5	2	3	5	3	4	5	5	5	4	4	3	3
negativac	I	7576	3	2	5	4	4	4	5	4	1	1	5	3	4	2	4	3	1	3	3	4	4	3	3	4	1	2	3	3	5	3	3	2	2	2	1	3	4	3	3	4	1	4	2	3	3	5	2	4	3	3	4	3	4	3	3	2	2	4	5	4	4	2	4	3
trk	I	6475	2	2	3	3	2	1	4	3	4	1	3	3	2	1	1	2	5	3	4	3	5	4	5	4	3	1	2	2	5	5	4	2	5	1	5	1	4	4	3	4	3	3	5	2	4	4	5	4	3	2	2	1	4	2	5	2	5	3	4	4	4	3	4	3
otputovati	G	17417	5	4	5	4	3	4	2	5	5	5	5	5	5	3	1	4	5	3	5	5	5	5	5	0	4	3	3	4	5	0	4	4	3	4	5	4	4	4	3	3	3	3	4	4	3	5	5	4	1	4	5	5	2	4	5	5	5	4	3	5	3	3	4	3
socijalizam	I	17994	5	2	3	2	4	4	1	4	1	1	3	3	5	4	1	1	5	2	5	4	4	5	2	1	2	3	4	5	1	0	1	4	1	1	4	1	3	3	2	3	1	5	1	5	1	3	1	3	1	2	3	3	2	4	3	5	1	4	5	5	2	2	2	3
klavir	I	13164	5	3	5	3	5	5	5	4	5	3	4	4	5	2	5	3	5	2	5	4	5	5	5	3	5	4	5	5	5	4	5	4	5	3	5	1	5	3	5	3	5	5	5	3	5	4	5	3	5	3	5	4	5	2	5	3	5	3	5	4	5	1	5	5
odgoditi	G	16569	4	4	4	5	1	3	3	5	2	4	4	4	2	2	1	4	2	3	3	4	4	5	3	3	3	4	4	3	4	5	3	4	3	4	1	3	5	4	3	4	1	5	2	5	2	5	3	5	1	4	5	5	1	4	4	5	4	5	3	5	3	3	3	4
pribrojiti	G	3017	3	3	4	4	3	1	1	4	3	3	3	3	2	4	2	4	5	3	2	3	4	5	2	2	2	3	5	2	5	5	1	2	4	2	1	1	4	4	3	3	1	4	2	3	2	3	2	4	1	3	4	3	1	3	3	4	4	4	2	3	4	3	3	4
prijavljivanje	I	4514	3	3	3	5	2	2	4	5	1	4	4	4	3	3	2	3	2	3	1	2	3	5	2	3	3	4	4	4	4	0	1	1	2	3	1	1	4	5	2	3	3	1	4	3	2	4	4	4	1	4	4	4	2	4	2	5	4	4	3	4	3	2	3	3
koristan	P	77708	5	4	2	5	3	5	4	5	3	3	5	5	3	3	2	5	1	3	2	5	4	4	1	4	2	4	3	4	3	3	1	4	2	4	4	2	4	5	2	5	1	3	1	4	3	5	1	5	1	4	4	5	1	4	2	5	3	5	5	5	4	5	3	3
izvanjski	P	4424	2	1	2	2	3	1	1	2	3	2	4	3	1	1	1	1	1	2	1	4	2	4	3	3	1	1	4	2	5	4	1	2	3	1	1	1	4	3	1	4	1	4	2	3	4	4	2	3	2	2	5	4	2	4	2	1	3	2	3	4	4	3	3	3
štala	I	6140	5	4	5	3	5	5	5	3	5	4	4	3	5	2	3	3	5	2	5	3	5	5	5	2	4	3	5	3	5	2	5	5	5	2	5	1	5	2	4	3	5	1	5	3	5	4	5	4	5	2	5	3	5	2	5	2	5	4	5	5	5	1	4	2
patrola	I	4698	4	3	5	2	5	5	4	4	5	1	4	3	2	1	2	1	5	1	4	2	5	5	4	2	3	2	5	4	4	5	5	5	2	1	4	2	5	2	4	3	5	4	3	3	4	3	4	4	4	2	4	3	5	2	5	3	5	3	5	3	3	1	4	2
razbiti	G	32183	5	3	5	3	4	4	5	5	5	4	5	4	4	3	4	4	5	1	4	4	5	5	5	3	5	4	4	5	5	5	5	4	5	4	5	2	5	4	3	4	5	3	3	3	5	5	4	4	4	4	5	4	5	4	5	4	5	5	3	5	5	4	4	4
šivanje	I	3615	5	4	5	2	5	4	5	4	5	3	4	4	4	0	4	3	5	2	5	4	5	5	5	2	5	5	3	3	5	5	5	4	5	3	5	2	5	3	3	3	5	3	5	3	5	3	5	4	5	3	5	3	4	2	4	4	5	3	5	4	5	1	3	3
sekcija	I	26952	5	4	2	2	2	1	1	3	1	1	2	3	3	2	2	1	5	1	1	2	4	4	2	1	2	2	4	3	5	5	3	1	4	1	5	3	4	3	3	2	3	3	3	3	2	3	4	3	3	3	3	2	3	3	2	4	4	3	3	5	4	3	3	3
investicijski	P	34234	5	5	2	3	2	2	1	3	1	1	3	3	5	5	2	1	1	1	2	3	3	4	1	2	3	2	5	3	5	3	1	3	2	1	1	4	3	3	2	2	1	5	1	3	2	4	2	4	1	3	3	5	1	3	2	2	2	2	3	5	3	3	0	3
valjak	I	6892	3	3	5	3	5	3	5	4	5	2	4	3	4	1	5	2	5	3	5	4	5	4	5	2	5	3	4	4	5	3	5	4	5	2	5	1	5	3	5	2	5	3	3	3	5	3	5	3	5	3	5	2	5	1	5	4	5	2	5	3	5	1	4	3
slojevit	P	3572	3	3	4	4	5	4	4	4	4	3	5	5	3	3	4	4	5	1	5	4	3	3	5	3	2	2	3	2	5	5	4	4	5	2	5	1	3	3	2	3	1	5	3	4	4	4	4	4	4	3	4	3	4	4	5	4	4	3	3	4	4	3	3	2
morati	G	1705536	3	4	3	5	4	4	1	5	1	5	4	4	2	4	1	5	1	3	3	5	2	5	1	5	1	3	4	3	5	5	1	5	1	5	1	4	5	5	1	5	1	5	1	4	1	5	2	5	1	5	3	5	1	5	2	5	4	5	2	5	2	5	3	4
zlatan	P	114206	5	4	5	3	5	4	5	4	5	4	4	5	4	3	3	3	5	3	5	4	5	4	5	3	5	3	5	4	5	5	5	5	5	3	5	5	4	3	3	4	1	2	4	3	5	4	5	4	5	3	5	4	4	2	5	4	5	1	5	4	4	2	3	3
poslušan	P	6679	4	4	4	0	3	5	1	4	2	4	5	5	3	3	3	4	1	2	3	5	3	3	2	4	3	3	4	3	5	5	1	4	2	2	2	2	4	3	2	5	1	3	2	3	3	4	2	4	1	4	4	4	2	3	3	3	4	4	3	5	4	2	3	3
padalina	I	4413	5	3	5	3	5	3	4	5	5	5	3	3	3	3	3	2	5	2	5	4	4	3	5	4	1	3	4	2	5	5	5	2	5	3	5	5	5	3	4	3	5	3	4	3	4	2	4	5	5	5	5	4	5	3	5	5	5	3	5	5	5	3	3	2
planiranje	I	37328	5	4	0	0	5	3	4	4	3	5	4	4	2	2	2	5	1	3	5	5	3	3	3	3	2	4	4	3	5	5	2	3	3	5	4	4	4	3	2	4	3	4	1	4	3	5	2	5	1	4	4	5	4	5	2	5	4	5	4	5	5	1	2	3
izraditi	G	52943	3	3	5	4	5	4	2	4	5	4	3	3	3	3	4	3	2	1	4	4	4	3	2	3	2	4	3	4	5	5	3	4	4	4	5	3	4	4	2	5	3	4	3	3	5	5	2	5	3	4	5	5	2	4	4	4	5	5	3	5	3	2	3	3
neven	I	5239	2	2	5	3	5	2	5	4	5	1	3	3	5	5	5	2	5	1	5	5	5	3	5	1	4	1	4	1	5	5	5	2	5	3	5	1	3	3	5	3	5	3	5	2	5	4	5	2	5	2	5	2	5	4	5	2	5	2	5	4	1	1	3	2
presretan	P	11006	5	4	2	5	2	5	2	5	3	4	4	4	1	3	2	5	2	3	5	5	3	3	1	4	2	4	3	3	1	5	1	5	4	5	5	4	4	2	2	4	1	4	2	4	3	5	2	5	1	4	4	5	4	2	1	5	3	4	2	5	2	2	3	3
protivnički	P	10950	2	3	3	4	1	3	2	4	3	2	5	5	2	2	3	3	1	2	2	4	3	4	2	3	3	3	4	4	5	4	1	2	1	2	3	3	4	3	2	3	1	4	2	3	3	5	4	4	2	4	5	5	3	4	3	3	4	4	3	2	3	4	3	2
ispeći	G	8003	5	4	5	4	4	5	4	4	5	5	3	3	4	3	5	5	5	2	5	5	4	4	4	2	4	4	3	5	3	3	4	4	5	4	5	4	5	3	3	5	5	5	4	4	5	5	5	5	2	4	5	5	4	2	5	4	5	5	4	5	4	4	4	3
napuštati	G	23407	5	2	5	3	2	3	1	4	4	3	4	4	2	2	3	3	1	3	3	5	2	4	3	2	4	3	4	2	5	4	2	3	3	2	3	2	5	4	2	4	3	3	2	3	4	5	2	4	1	2	4	4	2	3	4	4	4	4	3	5	4	4	3	3
natjerati	G	35382	3	3	2	4	2	4	1	5	4	4	4	4	3	3	3	4	1	2	2	3	3	5	3	3	2	4	5	3	3	5	2	4	2	2	4	3	4	3	2	5	1	4	2	3	3	5	2	5	1	3	5	4	2	3	3	5	5	5	3	5	4	4	3	3
ugovoriti	G	10057	3	3	5	3	4	4	2	5	2	3	4	4	3	2	3	3	1	3	2	4	3	5	2	2	2	4	5	4	4	0	2	4	2	2	4	3	5	2	2	3	3	3	2	3	2	5	4	4	2	3	4	4	2	2	3	4	5	3	3	4	3	4	3	3
ispisati	G	11467	5	4	5	4	5	5	4	5	3	4	4	4	4	3	4	4	5	3	3	4	4	5	4	2	2	3	4	5	3	3	2	3	5	4	3	2	4	4	2	5	1	3	4	3	4	5	4	4	3	4	5	5	3	4	4	5	5	4	3	5	3	3	3	4
mrvica	I	18584	3	3	5	4	5	5	5	5	5	3	4	4	4	2	5	3	5	3	5	5	5	5	5	4	5	2	3	4	5	5	5	4	5	4	4	2	5	4	5	5	3	4	4	2	5	5	4	5	5	5	5	5	5	3	5	5	4	2	3	5	4	3	3	3
nadmoćan	P	4449	2	2	3	4	1	1	1	4	4	2	4	4	3	2	3	2	1	1	4	4	1	3	1	1	2	1	4	4	5	5	1	2	2	2	3	2	4	3	2	3	1	3	1	3	2	5	1	4	1	3	5	4	4	3	4	4	3	4	3	3	0	2	3	4
protivnica	I	3192	2	2	5	3	2	4	3	4	2	1	3	3	2	3	4	3	1	1	5	4	5	4	1	2	2	2	3	3	3	2	4	1	2	1	2	3	5	4	3	3	1	2	3	3	3	5	4	4	2	3	5	4	5	3	4	4	3	4	5	4	0	2	3	3
kaotičan	P	5130	3	4	1	4	3	3	1	4	1	1	4	4	4	2	3	2	1	1	3	4	1	3	1	2	1	3	4	4	5	3	1	3	5	3	3	4	4	3	2	4	1	3	2	3	3	4	2	5	2	3	4	3	4	4	2	4	1	4	2	3	3	2	3	3
esencijalan	P	6844	3	4	2	4	3	3	1	3	1	2	4	4	4	1	2	1	1	1	3	4	1	2	1	1	1	2	5	5	4	5	1	2	1	1	2	2	4	3	2	2	1	5	1	4	1	4	1	4	1	3	3	2	2	4	1	3	1	1	4	2	3	3	3	3
editorijal	I	4239	3	4	3	4	5	2	1	1	3	1	3	3	3	2	3	2	1	1	4	3	4	4	2	1	2	2	5	4	1	1	2	1	3	1	2	2	4	3	4	2	2	1	4	3	3	3	4	3	2	3	1	1	3	2	1	2	4	2	5	1	2	1	3	2
štovatelj	I	4509	3	2	5	3	4	2	2	1	1	2	4	4	2	2	3	2	1	1	5	5	5	3	1	1	1	1	5	4	1	1	4	2	2	1	4	4	4	2	4	3	1	1	2	3	4	4	2	2	1	2	5	4	4	2	1	1	3	2	5	3	3	2	2	2
neizlječiv	P	3307	4	3	5	4	3	4	1	3	2	4	3	3	3	2	4	3	1	2	3	4	3	0	1	3	2	2	4	3	1	0	2	2	2	2	3	2	5	2	2	3	5	3	2	3	2	5	2	3	1	3	5	4	3	2	3	3	3	3	2	4	3	2	3	3
pozadina	I	35408	4	5	5	5	5	5	2	4	5	4	5	5	3	3	3	4	5	5	5	5	5	3	3	4	1	5	3	4	5	3	5	4	5	3	4	4	4	3	3	4	3	4	4	4	5	5	5	3	4	4	3	3	5	3	4	4	5	4	5	4	4	3	3	3
donijeti	G	255222	4	3	3	4	5	5	2	5	5	5	5	5	0	4	4	5	1	5	5	5	5	3	2	5	2	5	4	3	5	3	5	5	5	4	4	4	5	2	2	5	3	5	4	4	5	5	4	5	3	5	5	5	4	4	5	5	4	5	2	4	5	4	3	4
ispiti	G	4544	4	4	5	5	5	5	2	5	5	5	5	5	4	4	4	5	5	2	5	5	5	3	4	4	2	5	3	4	5	4	5	5	5	4	4	4	5	4	3	5	1	5	4	4	5	5	5	5	3	4	5	5	5	4	5	5	5	5	5	5	4	4	4	2
dodirnuti	G	6070	4	4	5	4	5	5	3	5	5	5	4	4	4	4	5	4	5	5	5	5	5	3	5	5	2	5	4	3	5	5	4	5	5	4	5	4	5	5	2	5	5	3	5	3	5	5	5	5	3	4	5	4	4	3	5	5	5	5	2	5	5	4	3	3
nabaciti	G	8250	4	5	4	3	4	4	2	4	5	4	5	5	3	3	4	3	2	1	5	5	4	4	5	4	3	3	3	4	5	5	3	2	4	5	4	3	3	4	2	5	1	2	3	3	4	5	2	4	3	4	5	3	3	3	2	3	3	4	2	4	3	3	3	2
mentor	I	19756	4	4	5	4	5	4	5	5	3	1	2	2	4	2	4	3	5	5	5	5	3	0	1	2	3	3	4	3	5	5	4	4	2	3	5	4	5	2	5	5	4	5	3	4	5	5	5	4	5	3	5	4	4	4	5	3	4	4	5	5	3	2	3	3
kazneni	P	111969	3	3	4	4	3	3	2	4	3	2	3	3	3	3	3	3	2	5	4	4	4	3	2	2	2	1	5	4	5	5	2	2	2	1	4	2	4	3	2	3	1	4	1	3	3	5	2	3	1	3	4	5	3	3	3	3	4	4	5	4	4	3	2	3
taliban	I	9601	2	2	5	3	5	3	4	4	3	1	3	3	5	3	4	1	5	2	5	3	3	2	1	1	3	1	5	5	4	5	5	1	3	1	5	4	5	2	4	3	3	5	5	3	5	4	5	4	5	3	5	4	5	1	5	3	5	3	5	3	4	4	4	3
dušik	I	4457	3	2	4	2	4	3	3	3	2	1	4	4	4	4	1	3	5	2	5	4	2	3	1	1	1	3	5	4	3	4	3	3	2	2	5	4	4	2	2	3	5	3	5	3	3	4	5	2	2	2	1	2	5	2	4	3	4	2	5	2	2	1	4	3
destruktivan	P	5285	3	3	3	3	2	1	4	4	1	2	1	1	2	3	3	2	5	1	3	4	4	4	1	1	2	2	2	3	5	3	1	1	2	2	3	3	4	3	3	3	3	4	2	4	1	4	2	3	1	2	4	3	2	2	3	4	1	3	2	4	2	2	3	3
spati	G	7191	0	0	4	3	5	5	3	3	5	5	5	5	3	2	3	3	1	1	5	4	5	5	3	5	2	1	3	4	5	3	3	1	0	1	5	4	1	1	3	4	3	1	4	3	1	5	4	5	3	1	4	3	1	1	2	5	4	3	4	5	5	5	4	3
pomisliti	G	73806	3	4	2	5	3	5	2	3	3	5	2	2	3	3	1	5	1	1	5	4	4	4	1	4	1	3	4	3	5	3	1	4	1	5	3	3	4	5	2	5	1	5	2	5	1	5	1	5	1	5	3	4	4	5	1	5	4	5	1	5	3	4	2	4
pravljenje	I	5034	4	3	5	5	4	3	3	2	5	5	3	3	3	3	4	4	1	1	4	4	3	5	2	3	2	2	5	4	5	4	1	4	2	2	3	3	3	3	2	5	4	3	4	4	3	3	2	4	1	3	5	5	3	3	2	2	3	4	2	2	4	3	2	2
pripisati	G	9915	4	3	3	4	4	3	5	3	3	1	3	3	2	4	1	3	1	1	3	4	3	5	2	4	3	2	3	3	5	5	3	2	2	3	2	2	4	3	2	3	1	4	2	3	1	5	2	3	1	3	4	4	2	4	3	4	3	3	2	4	2	2	2	2
mačji	P	4863	5	3	4	3	2	4	3	2	3	2	3	3	4	4	3	1	1	1	5	4	3	2	3	4	4	4	2	4	5	5	3	3	4	3	2	2	5	1	2	5	1	2	3	3	2	4	4	3	2	2	5	3	3	2	4	4	4	4	5	5	5	3	2	2
prijenos	I	62823	4	3	3	4	4	5	5	4	5	3	4	4	4	3	3	3	1	5	3	3	4	0	4	3	3	4	4	3	5	5	3	2	3	2	2	2	3	4	3	3	1	5	4	3	1	4	2	3	3	2	2	4	3	3	3	4	4	4	3	4	3	4	3	3
sebičan	P	11061	5	3	4	5	2	5	4	2	3	3	4	4	5	4	4	4	1	5	2	4	5	5	1	5	2	3	3	4	4	4	1	4	1	4	4	3	4	3	1	4	1	1	2	3	1	5	1	3	1	3	2	4	1	3	2	4	4	3	3	4	3	4	2	3
zamolba	I	8887	5	3	2	4	5	5	3	3	5	4	4	4	4	2	4	4	5	5	5	5	4	4	5	4	2	4	4	2	5	5	5	4	1	3	5	4	3	4	5	4	5	4	3	3	2	5	4	4	2	4	5	4	3	5	3	4	2	3	5	1	3	4	2	3
marginalan	P	4743	5	3	4	4	1	1	4	3	3	1	3	3	3	4	2	1	1	1	1	3	5	4	1	1	4	3	3	3	5	5	2	2	3	1	2	1	2	4	1	3	1	3	1	3	1	3	2	4	1	2	3	4	1	3	1	4	1	1	4	2	3	3	3	2
sastaviti	G	22572	5	3	5	5	4	4	3	2	4	5	3	3	4	3	4	4	1	2	2	3	4	5	3	4	3	4	5	4	1	1	3	3	4	4	3	2	3	5	2	5	3	5	4	3	2	5	3	5	2	4	4	5	3	4	4	4	5	5	3	4	3	2	3	3
disk	I	58624	5	3	5	4	5	2	4	2	5	4	3	3	4	3	4	3	5	4	5	4	5	5	5	3	4	2	3	5	5	5	5	5	5	2	5	2	5	4	5	3	4	5	5	2	5	3	5	4	5	2	5	5	5	2	5	1	3	2	5	4	4	2	5	4
uspjeh	I	196089	3	4	5	5	2	5	1	4	3	3	4	4	1	4	4	5	1	5	4	4	3	5	1	4	1	3	3	5	5	5	1	5	3	5	5	5	2	5	2	4	3	5	1	3	1	5	1	4	1	4	2	5	2	5	2	5	5	4	4	5	2	3	3	3
prošlost	I	99989	0	4	1	4	3	4	1	4	1	4	3	3	1	3	3	5	1	5	4	5	5	4	1	5	1	3	5	4	5	5	1	5	2	4	5	3	1	5	2	4	3	5	1	5	1	5	1	5	1	3	2	3	1	5	3	5	5	4	5	5	3	4	2	3
sloboda	I	169869	4	4	1	5	3	4	1	4	2	4	1	3	1	3	1	5	5	5	5	5	5	4	1	4	1	4	0	4	5	5	1	5	3	3	2	2	1	5	1	4	1	5	1	4	1	5	1	4	1	4	1	4	2	4	2	5	4	4	3	5	1	2	2	3
sedamdesete	I	3553	3	2	3	3	2	4	4	3	2	1	1	1	2	3	1	1	1	5	5	5	5	5	2	1	2	3	3	3	5	5	5	3	2	2	5	4	2	2	2	3	1	3	1	3	1	5	4	3	2	2	1	2	4	2	4	5	2	2	5	4	3	2	3	2
pravopis	I	10268	5	5	3	3	3	5	3	4	3	4	4	5	3	4	3	4	5	5	5	4	4	5	1	2	4	5	4	2	5	4	1	5	3	3	2	1	4	4	3	3	4	4	1	4	2	5	5	4	4	4	5	5	3	5	5	5	4	5	4	3	3	4	3	3
uradak	I	23097	4	5	5	5	2	4	3	3	3	3	3	3	3	4	4	3	5	1	3	3	5	5	4	1	4	4	2	3	5	4	5	2	4	1	3	2	4	4	5	4	4	4	4	2	5	2	5	4	4	4	5	4	4	5	3	3	3	3	4	3	2	3	2	2
stabljika	I	5191	5	3	5	3	5	5	5	4	5	4	3	3	5	4	5	3	5	5	5	4	3	4	5	2	5	2	3	4	5	3	5	3	5	2	5	5	5	3	5	3	5	5	5	2	5	4	5	3	5	3	5	2	5	3	5	5	3	3	5	4	5	2	4	3
ženidba	I	5427	5	3	5	3	5	5	3	3	4	4	1	4	3	3	1	3	5	1	5	5	5	3	1	1	4	2	5	5	5	5	5	4	3	3	4	3	4	2	3	3	3	2	3	3	2	5	5	3	3	4	5	4	5	3	5	4	3	3	4	2	4	3	3	2
upotrebljavati	G	33324	5	5	5	5	4	4	2	4	2	3	3	3	2	3	4	5	1	1	2	4	4	4	3	4	1	4	2	4	5	3	4	5	3	4	1	4	4	5	3	5	1	5	4	3	5	5	4	5	3	5	4	5	2	5	5	5	5	5	2	4	3	5	4	4
kolonijalan	P	4318	3	3	5	2	4	4	1	2	1	1	3	3	3	4	2	1	1	1	4	2	1	5	2	1	4	1	3	4	5	3	3	2	2	1	3	1	3	2	3	2	1	3	1	4	2	4	2	2	1	2	3	3	2	2	4	4	1	1	4	3	3	3	3	2
pristupati	G	19676	4	4	5	3	4	3	2	3	2	2	3	3	4	4	3	3	1	1	4	3	2	5	3	3	2	3	4	3	1	1	3	3	2	2	1	2	4	4	1	4	1	4	3	4	5	4	2	3	1	3	4	4	2	4	4	3	5	4	1	4	2	4	4	2
pregovor	I	95505	4	4	5	2	3	2	3	4	2	3	4	3	4	3	1	3	5	5	5	3	4	5	4	2	3	3	3	2	4	4	3	3	1	2	1	4	4	3	2	3	1	4	1	4	3	4	4	0	2	4	4	4	2	3	3	4	3	3	2	3	2	4	3	2
produbiti	G	5242	4	2	3	3	2	5	1	3	3	2	2	3	3	2	4	3	1	2	4	3	5	4	4	2	2	4	4	2	3	5	5	2	3	1	5	2	3	3	2	4	1	3	3	3	3	5	4	4	1	4	2	3	2	4	4	4	2	2	3	5	3	3	2	2
gnijezdo	I	9480	4	2	5	2	5	5	5	4	5	3	4	3	3	4	5	3	5	2	5	4	5	4	5	2	5	3	5	3	4	3	5	4	5	2	5	2	5	0	5	3	4	4	5	4	5	5	5	3	5	3	5	5	5	4	5	5	3	3	5	3	5	2	4	2
prisilan	P	11803	5	3	3	4	3	3	3	3	3	2	3	3	4	5	3	2	1	1	3	3	2	4	2	3	3	2	3	4	5	3	2	2	1	2	2	3	3	3	2	3	3	4	1	4	3	1	3	3	1	2	3	5	4	4	3	4	3	4	2	4	3	2	4	3
